"","County","TrumpPct","Votes","Less_Than_High_School_Diploma","At_Least_High_School_Diploma","At_Least_Bachelor's_Degree","Graduate_Degree","School_Enrollment","Median_Earnings_2010","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","precip","Candidate"
"2425","Jefferson Davis Parish, Louisiana",75.4710373328,14277,24.5,75.5,11.6,3.1,73.4,26504.104125,4.3,3.5,0.1,55.5,0.373,0.28,0.346,0.137,451.2,182.1,0.203,0.053,456.56,11.38,102.2,9.1,1563.116,"Trump"
"2426","Pointe Coupee Parish, Louisiana",57.7246832752,11761,24.4,75.6,15.3,5.8,72.45,26625.76603,2.5,NA,0.13,61.1,0.37,0.139,0.323,0.146,405.2,215.7,0.196,0.076,672.7,8.83,85.8,10.4,NA,"Trump"
"2427","Sabine Parish, Louisiana",80.5007664793,9785,20.4,79.6,11.6,2.7,74.05,25002.976825,5.4,4.2,0.12,60.5,0.424,0.237,0.365,0.14,297.6,78.7,0.249,0.064,257.76,NA,79.6,10,NA,"Trump"
"2428","Tensas Parish, Louisiana",46.4018875344,2543,28.6,71.4,12.9,3.8,69.2,20395.8473,3.8,1.8,0.15,78.7,0.628,0.256,0.353,0.144,730.4,NA,0.247,0.102,NA,NA,99.4,NA,1434.084,"Clinton"
"2429","Vermilion Parish, Louisiana",78.4342454362,25253,24,76,11.7,2.7,71.7,25609.67143,3.9,3.6,0.1,54.2,0.347,0.238,0.33,0.124,396.4,179.5,0.206,0.055,653.65,4.03,63.2,8.1,1550.50066667,"Trump"
"2430","Berkshire County, Massachusetts",26.0421349621,64507,9.8,90.2,29.6,12.6,80,28309.64508,3.7,3.6,0.08,23.5,0.351,0.17,0.22,0.086,275.2,101.8,0.048,0.067,429.39,1.62,52.3,3.9,NA,"Clinton"
"2431","Carroll County, Maryland",65.4967659845,84879,10.5,89.5,31.1,11.8,80.1,40783.73905,3,3.4,0.07,18.4,0.195,0.177,0.283,0.087,153.6,106.6,0.081,0.062,196.2,1.46,49,4.4,1102.36,"Trump"
"2432","Alcona County, Michigan",67.9883476291,6179,15.7,84.3,12.4,4.7,79.2,18988.474285,2.5,NA,0.07,27,0.267,0.295,0.301,0.145,64.8,NA,0.181,0.126,143.85,NA,83.6,NA,NA,"Trump"
"2433","Bay County, Michigan",53.515831633,52932,12.6,87.4,18,5.7,78.4,25519.37619,3,4.2,0.08,34.8,0.311,0.232,0.335,0.112,317.4,60.7,0.132,0.085,309.4,2.37,60.1,6.3,NA,"Trump"
"2434","Midland County, Michigan",56.3415842752,42379,8.6,91.4,32.2,12.5,83.15,27217.31492,3,3.1,0.07,21.9,0.226,0.19,0.307,0.099,227.2,33.7,0.108,0.071,143.53,NA,50.2,6.8,NA,"Trump"
"2435","Chisago County, Minnesota",61.4515645306,30009,9,91,17,4.9,76.55,33665.382855,3,2.9,0.06,19,0.233,0.259,0.285,0.079,215.1,38.2,0.086,0.067,78.31,NA,60.6,4.7,819.658,"Trump"
