"","County","TrumpPct","Votes","Less_Than_High_School_Diploma","At_Least_High_School_Diploma","At_Least_Bachelor's_Degree","Graduate_Degree","School_Enrollment","Median_Earnings_2010","Poor.physical.health.days","Poor.mental.health.days","Low.birthweight","Teen.births","Children.in.single.parent.households","Adult.smoking","Adult.obesity","Diabetes","Sexually.transmitted.infections","HIV.prevalence.rate","Uninsured","Unemployment","Violent.crime","Homicide.rate","Injury.deaths","Infant.mortality","precip","Candidate"
"1","Cherokee County, Alabama",83.8712748738,10503,26.6,73.4,10.5,4.2,68.8,26915.90349,6.1,5.2,0.09,52.2,0.258,0.244,0.314,0.136,268.6,119.8,0.172,0.071,335.88,NA,80.9,NA,1321.689,"Trump"
"2","Montgomery County, Alabama",35.8753119316,94572,15.3,84.7,30.5,12.3,76.15,26278.649205,4,3.8,0.12,55.4,0.49,0.192,0.353,0.143,1277.4,755.5,0.165,0.077,380,14.06,58.7,10.1,1344.549,"Clinton"
"3","Jackson County, Arkansas",63.3275092215,5151,27.7,72.3,7,2.2,72.4,19088.797145,4.7,4.7,0.11,75.8,0.438,0.27,0.371,0.138,554.1,131,0.205,0.096,461.01,NA,99.9,NA,NA,"Trump"
"4","Mississippi County, Arkansas",53.4455066922,13075,24.4,75.6,11,2.9,73.8,22554.7073,5.4,4.8,0.12,85.4,0.51,0.295,0.391,0.135,1224.8,234.8,0.19,0.1,835.35,12.45,90.1,9.2,1270.635,"Trump"
"5","Lee County, Arkansas",40.6953642384,3020,30.7,69.3,8.5,2.6,69.2,20397.47651,4.9,4,0.13,72.3,0.593,0.184,0.346,0.132,1007.2,267,0.199,0.113,285.05,26.16,104.6,NA,1284.478,"Clinton"
"6","Madison County, Arkansas",72.0017572119,6829,24.2,75.8,13.4,4.1,76.4,23365.94889,4.9,2.1,0.07,49,0.179,0.304,0.328,0.135,247.2,131.3,0.239,0.053,245.83,NA,96.8,NA,NA,"Trump"
"7","Drew County, Arkansas",60.1972685888,6590,19.4,80.6,19.4,5.7,78.5,21988.9473,4.5,4.7,0.1,47.7,0.429,0.181,0.323,0.126,747.3,79.9,0.197,0.108,449.02,NA,82,NA,1360.424,"Trump"
"8","La Paz County, Arizona",68.5662137497,4931,23.1,76.9,9,3.3,71.35,21059.850475,5.3,5.2,0.06,78.7,0.467,0.185,0.312,0.134,244.9,127.1,0.262,0.092,344.55,6.99,129.4,NA,141.689666667,"Trump"
"9","San Bernardino County, California",42.413027758,598783,22.5,77.5,18.4,6.3,75.75,29159.6873,4.2,4.1,0.07,45.5,0.343,0.162,0.282,0.085,530,200.9,0.217,0.12,451.22,8.17,45.5,6.6,222.286285714,"Clinton"
"10","Inyo County, California",53.1265632816,7996,11.4,88.6,20.9,7.5,75.25,29416.16,3.4,NA,0.09,40.6,0.408,NA,0.238,0.093,173.2,80.3,0.204,0.094,399.61,NA,78.1,NA,NA,"Trump"
"11","San Joaquin County, California",40.9944373436,166647,23.3,76.7,17.5,5.3,76.8,29595.494605,3.8,4,0.07,44.9,0.34,0.164,0.31,0.095,522.5,217,0.193,0.152,812.49,7.59,61,6.3,390.0424,"Clinton"
"12","Conejos County, Colorado",47.4811083123,3970,18.6,81.4,18.7,6.6,79.15,20179.366665,5.5,3.8,0.12,48.4,0.26,0.21,0.177,0.061,205,NA,0.223,0.099,NA,NA,95,NA,211.836,"Clinton"
"13","Chaffee County, Colorado",48.0316392399,10999,9.2,90.8,33.3,10.5,72.55,21144.43238,2.3,2.6,0.1,32.6,0.31,0.203,0.162,0.06,145,65.6,0.195,0.071,86.74,NA,104.9,NA,343.027,"Clinton"
"14","Fairfield County, Connecticut",37.8905574012,410279,11.7,88.3,43.6,19,83.7,40410.649525,2.6,2.8,0.08,18,0.242,0.12,0.186,0.071,296.4,375.4,0.117,0.076,298.01,3.39,43.7,5,1268.6284,"Clinton"
"15","Jefferson County, Florida",51.4330585002,7641,20.1,79.9,14.7,6,65.3,27064.73524,4.3,4.6,0.1,52.8,0.38,0.181,0.351,0.134,518.5,632.1,0.224,0.079,845.81,NA,102.9,NA,NA,"Trump"
"16","Camden County, Georgia",65.2695883134,18825,10.9,89.1,20.4,8.3,68.2,27758.964125,3.4,3,0.08,52.7,0.324,0.243,0.286,0.116,392.8,196.1,0.17,0.09,411.42,4.72,56.8,6.3,1304.671,"Trump"
"17","Cherokee County, Georgia",72.7371982856,110825,11.1,88.9,33.6,9.1,80.3,35838.515875,2.9,2.7,0.07,29.7,0.219,0.167,0.279,0.087,176.8,142.6,0.183,0.072,94.58,1.59,45,4.6,1366.52,"Trump"
"18","DeKalb County, Georgia",16.0647714714,295871,12.1,87.9,38.7,15.1,76.15,31275.05492,2.5,3,0.1,46.4,0.456,0.108,0.255,0.09,722,1080.4,0.239,0.093,623.17,13.97,51.7,8.5,1345.438,"Clinton"
"19","Dodge County, Georgia",71.7798427448,6995,23.1,76.9,13.8,4.8,61.5,26927.608255,4.3,4.7,0.12,64,0.453,0.189,0.358,0.153,497.9,315.8,0.208,0.115,477.48,8.11,79.4,NA,1192.022,"Trump"
"20","Douglas County, Georgia",43.237165519,57365,13.6,86.4,23.7,7.7,77.55,32897.63492,3.2,3.5,0.1,39.9,0.355,0.148,0.346,0.116,571.4,150.5,0.206,0.092,291.54,4.77,53.7,7.2,NA,"Clinton"
"21","Fulton County, Georgia",27.1069054186,407173,10.4,89.6,47.6,17.7,78.8,34953.15397,2.4,2.7,0.11,44.2,0.413,0.133,0.229,0.079,785.2,1268.7,0.224,0.096,840.82,13.8,59.8,8.1,1304.163,"Clinton"
"22","Madison County, Georgia",76.9778149853,11945,27.1,72.9,12.9,5.1,75.85,27169.175555,4.6,4.6,0.09,49.9,0.325,0.254,0.317,0.118,240,51.9,0.227,0.068,575.14,5.18,98.6,NA,1231.392,"Trump"
"23","Pike County, Georgia",83.8386167147,8675,17,83,15.7,5.9,77.95,28673.490475,NA,NA,0.09,37.7,0.305,NA,0.313,0.117,191.5,38.6,0.204,0.091,59.74,NA,70.1,NA,NA,"Trump"
"24","Polk County, Georgia",77.7369684984,14158,28.4,71.6,11.4,4.8,68.45,24613.23619,5.4,5.6,0.09,82,0.359,0.226,0.264,0.135,279.1,65.3,0.24,0.089,380.25,7.72,84.2,7,1305.052,"Trump"
"25","Turner County, Georgia",61.7699115044,3390,31.5,68.5,13.2,6,72.95,18596.705395,4.7,6.8,0.14,93.5,0.568,0.19,0.326,0.134,619.7,303.5,0.26,0.096,407.4,NA,90.9,NA,1256.538,"Trump"
"26","Orangeburg County, South Carolina",30.6743251597,38824,22.8,77.2,16.7,7,76.85,21724.600635,3.9,3.7,0.14,51.8,0.52,0.213,0.403,0.16,1165.3,580,0.219,0.136,609.19,14.85,97.1,12.8,1189.99,"Clinton"
"27","Saluda County, South Carolina",64.5519336371,8559,24.9,75.1,12.6,3.2,73,23057.00508,3.4,2.9,0.1,50.7,0.308,0.201,0.32,0.124,578.4,218.8,0.255,0.076,535.38,7.36,76.7,NA,1193.927,"Trump"
"28","Haakon County, South Dakota",89.6551724138,1044,12,88,20,2.4,73.45,27210.613015,2.1,NA,NA,27.4,0.12,NA,0.301,0.1,NA,NA,0.178,0.031,NA,NA,NA,NA,479.975333333,"Trump"
"29","Lake County, South Dakota",59.5048629531,6786,8.7,91.3,22.1,8.7,85.25,21323.75111,3,4.4,0.06,13.3,0.228,0.188,0.305,0.095,233.4,NA,0.117,0.041,87.16,NA,47.3,NA,NA,"Trump"
"30","Turner County, South Dakota",70.7710843373,4150,9.9,90.1,21.5,4.7,80.5,27290.795555,2.6,2.1,0.07,17.5,0.218,0.172,0.322,0.086,48,NA,0.127,0.038,55.72,NA,52.6,NA,672.338,"Trump"
"31","Coryell County, Texas",67.3691178904,18127,12.4,87.6,15.4,4.6,61.05,26074.79397,4.8,4.8,0.08,47.7,0.302,0.157,0.295,0.087,450.9,188,0.181,0.086,219.27,2.91,45.4,8.9,NA,"Trump"
"32","Dallas County, Texas",34.8851460536,750649,23.5,76.5,28,9.6,72.55,27634.778095,3.6,3.3,0.08,67.8,0.38,0.153,0.303,0.092,714.6,735.8,0.305,0.072,498.24,10.11,52,7.1,991.235,"Clinton"
"33","Johnson County, Texas",77.4751178628,57270,18.3,81.7,16.1,4.3,73.35,29422.87619,5.1,4.1,0.08,58.2,0.271,0.197,0.326,0.127,329.3,108.3,0.261,0.066,250,2.95,63.7,6.9,946.996666667,"Trump"
"34","Lampasas County, Texas",78.1813719475,8149,17.4,82.6,17.3,4.9,75.15,25103.253015,2.1,NA,0.06,54.2,0.298,NA,0.29,0.102,407.2,28.4,0.273,0.069,121.09,NA,63,NA,832.950666667,"Trump"
"35","San Patricio County, Texas",60.4471714777,21513,23.7,76.3,15.1,3.7,72.6,23955.779365,4.2,3.1,0.09,74.1,0.356,0.197,0.292,0.108,482,76.3,0.231,0.076,290.12,3.44,53.8,6.2,844.719333333,"Trump"
"36","Somervell County, Texas",82.7141382869,3876,12.6,87.4,28.4,5.9,83.55,31191.175555,NA,NA,0.08,39.6,0.262,NA,0.284,0.104,142,NA,0.237,0.06,75.27,NA,90.3,NA,847.217,"Trump"
"37","Wilbarger County, Texas",77.2006827603,4101,26.4,73.6,15.9,5.9,69.25,22438.66508,NA,NA,0.08,74.1,0.39,NA,0.292,0.109,335.7,140,0.246,0.046,411.6,NA,70.4,NA,709.676,"Trump"
"38","Wasatch County, Utah",50.4537953795,12120,9,91,31.1,11.2,74.2,28934.628255,2.8,2.6,0.07,28.4,0.136,0.078,0.232,0.062,139.2,28.3,0.208,0.069,57.8,NA,57.8,NA,498.5385,"Trump"
"39","Washington County, Utah",68.8176157512,57494,9.3,90.7,24,8,72.25,24076.215875,3.1,2.8,0.06,32.3,0.203,0.078,0.238,0.076,177.9,32.2,0.212,0.07,128.86,1.45,64.5,5,301.204923077,"Trump"
"40","Amherst County, Virginia",63.5914006858,15164,21.7,78.3,15.6,5.5,77.35,23969.297145,NA,2.9,0.07,30.1,0.358,0.164,0.309,0.129,438.3,126.9,0.166,0.069,99.16,NA,63.1,NA,NA,"Trump"
"41","Bland County, Virginia",82.3303457106,3124,17,83,12,4.4,73.75,26372.45905,NA,NA,0.1,32.7,0.15,NA,0.282,0.115,NA,NA,0.146,0.059,58.02,NA,110.5,NA,1081.532,"Trump"
"42","Lunenburg County, Virginia",57.4861036399,5577,28.5,71.5,10,3,72.35,24528.98095,4.2,3.1,0.08,49.6,0.377,0.214,0.338,0.134,582.6,239,0.191,0.084,182.27,NA,92.5,NA,NA,"Trump"
"43","Franklin County, Washington",55.1787796347,20584,32.4,67.6,14.6,4.6,68.95,22461.965715,4.2,2.6,0.07,75.1,0.344,0.117,0.322,0.091,361.9,114.5,0.249,0.094,293.21,4.21,42.2,5.2,261.366,"Trump"
"44","Grayson County, Kentucky",77.7430949678,10572,27.8,72.2,7.5,3.8,74.45,22796.478415,4.9,3.9,0.08,57.9,0.235,0.292,0.353,0.124,231.2,41.4,0.186,0.104,64.92,NA,97.1,NA,1283.716,"Trump"
"45","Nelson County, Kentucky",64.654342384,20772,16.2,83.8,15.4,6.4,75.65,27922.106665,4.1,3.5,0.09,45.2,0.329,0.298,0.302,0.098,498,46.2,0.161,0.087,120.77,NA,81,5.2,1264.666,"Trump"
"46","Concordia Parish, Louisiana",61.7205998421,8869,30.1,69.9,11,3.8,75.75,18764.162855,4.2,3,0.15,71.1,0.562,0.225,0.354,0.125,407.2,245.3,0.223,0.097,624.04,13.34,92.7,11.8,1500.124,"Trump"
"47","Essex County, Massachusetts",35.9985643643,376140,11.8,88.2,36.1,14.4,81,36296.42381,3,3.2,0.08,23.3,0.32,0.141,0.235,0.09,329.7,235,0.054,0.071,359.81,2.12,44.8,4.6,1220.5335,"Clinton"
"48","Charlevoix County, Michigan",59.5455481568,14567,8.9,91.1,24.5,10.5,72.5,26867.08476,2.4,2.5,0.06,25.9,0.296,0.203,0.271,0.105,203.9,33.9,0.148,0.108,167.35,NA,60.2,NA,NA,"Trump"
"49","Crawford County, Michigan",63.7201814723,6833,15.7,84.3,14.1,4.1,73.2,19397.191745,NA,NA,0.09,43.7,0.363,0.351,0.297,0.11,171.3,NA,0.143,0.101,319.59,NA,62.8,NA,853.694,"Trump"
"50","Huron County, Michigan",67.0683997981,15848,15.4,84.6,13.8,4.3,78.35,23811.52095,2.9,4.1,0.08,22,0.279,0.202,0.29,0.107,143.8,NA,0.147,0.081,123.85,NA,63,NA,815.666571429,"Trump"
"51","Livingston County, Michigan",62.1963116967,105577,6.4,93.6,31.2,10.1,83.2,36300.309205,3,3.6,0.06,12.3,0.188,0.167,0.266,0.084,137,28.5,0.102,0.086,98.26,1.19,45.3,4.8,831.511333333,"Trump"
"52","Muskegon County, Michigan",46.6348522966,77114,12.3,87.7,16.5,5.5,76.2,24888.072065,4.6,4.9,0.09,48.7,0.373,0.265,0.355,0.119,705.2,81.6,0.136,0.088,437.18,2.89,65.6,7.5,836.422,"Clinton"
"53","Shiawassee County, Michigan",56.491599107,34044,10.7,89.3,14.9,5.6,76.25,26515.239685,3.8,4.4,0.07,27.7,0.344,0.213,0.346,0.103,233.4,35.1,0.132,0.093,243.46,NA,70.1,8.4,828.632666667,"Trump"
"54","Carlton County, Minnesota",45.185226203,18059,9.7,90.3,21.4,7.2,76.2,30427.26762,3.6,3.9,0.06,30.9,0.265,0.155,0.279,0.081,248.2,23.1,0.112,0.071,124.41,NA,69.8,NA,770.0264,"Clinton"
"55","Watonwan County, Minnesota",55.6829611748,4971,20.4,79.6,15,3.7,78.3,25059.64762,1.9,NA,0.05,52,0.317,NA,0.308,0.093,214.3,64.2,0.155,0.062,102.14,NA,73.1,NA,774.7,"Trump"
"56","Stoddard County, Missouri",83.4237083898,13278,25,75,11.7,4.5,70,22207.04508,6.5,4.5,0.09,50.6,0.312,0.293,0.329,0.106,255,27.7,0.18,0.075,197.62,NA,69.8,8.2,1145.032,"Trump"
"57","Taney County, Missouri",77.9520492329,23399,13.4,86.6,20,5.7,77.8,19966.04508,4,5.2,0.08,52.5,0.373,0.307,0.313,0.113,199.1,88.3,0.217,0.103,539.54,3.89,64.5,6.6,1117.727,"Trump"
"58","Vernon County, Missouri",76.0960820896,8576,15.9,84.1,14.3,5.5,74.2,19219.807935,3.8,4.7,0.06,43.3,0.418,0.227,0.306,0.11,229,84.1,0.185,0.059,437.78,NA,92.8,NA,1179.83,"Trump"
"59","Walton County, Georgia",76.915275201,40425,19.6,80.4,17.3,5.3,73.75,29155.95143,3,2.9,0.08,45,0.248,0.164,0.283,0.114,372.4,102.2,0.203,0.085,231.26,4.35,59.7,7.8,NA,"Trump"
"60","Wheeler County, Georgia",67.6022835395,2102,30.3,69.7,8.6,2.8,65.5,24491.153015,3.3,NA,0.11,92.7,0.325,NA,0.316,0.103,340.1,337.3,0.231,0.102,90.58,NA,70.5,NA,NA,"Trump"
"61","Worth County, Georgia",74.3285748851,8266,26.4,73.6,9.4,3.6,74.25,22961.57143,5.2,2.5,0.13,48.4,0.48,0.258,0.316,0.122,442.5,157.8,0.231,0.088,103.24,8.54,58,NA,NA,"Trump"
"62","Adams County, Iowa",66.906820365,2082,11,89,15.6,4.4,78.65,24250.6873,3.6,6.1,0.07,29,0.209,NA,0.338,0.094,249.8,NA,0.126,0.044,513.8,NA,NA,NA,889,"Trump"
"63","Bremer County, Iowa",53.925093633,13350,6.4,93.6,26.5,7.5,83.65,29465.88984,2.7,2.7,0.08,11.5,0.201,0.136,0.281,0.091,173,24.3,0.076,0.039,359.22,NA,38,NA,931.164,"Trump"
"64","Crawford County, Iowa",67.1524336928,6862,21,79,15,4.7,77.95,24854.68635,3.3,2.4,0.06,36.7,0.226,0.129,0.288,0.08,358.9,NA,0.152,0.043,63.22,NA,57.8,NA,819.404,"Trump"
"65","Boise County, Idaho",70.1206715635,3812,12.8,87.2,23.9,8.1,78.05,29129.06222,4.4,4.5,0.09,19.6,0.212,0.206,0.258,0.101,185.1,NA,0.193,0.086,98.79,NA,84.3,NA,NA,"Trump"
"66","McDonough County, Illinois",52.5871417506,12910,8.8,91.2,32.6,14.6,87.95,10435.340635,1.9,1.8,0.08,13.5,0.324,NA,0.294,0.085,429.7,30.1,0.133,0.075,162.28,NA,40.3,NA,974.598,"Trump"
"67","Richland County, Illinois",75.1769331586,7630,10.9,89.1,18.1,5.6,74.95,25804.60635,3.3,NA,0.08,40.5,0.269,NA,0.301,0.1,141.7,42.9,0.126,0.093,192.88,NA,76.7,NA,1168.4,"Trump"
"68","Stark County, Illinois",65.6446250462,2707,12,88,15.2,3.8,77.9,27232.339365,NA,NA,0.09,29.8,0.226,NA,0.318,0.098,211.8,NA,0.122,0.09,132.13,NA,NA,NA,940.689,"Trump"
"69","Allen County, Indiana",57.481805648,145787,11.5,88.5,26.1,8.3,77.1,29638.939365,3.1,3.3,0.09,41.8,0.336,0.21,0.322,0.103,563.5,136.3,0.176,0.083,255.25,6.6,55.5,8.5,NA,"Trump"
"70","Clinton County, Indiana",71.7047747142,11896,18.6,81.4,13.1,4.3,70.7,25602.66508,3.9,4.1,0.08,50.5,0.338,0.189,0.294,0.135,314.2,65.1,0.19,0.081,162.31,NA,59.5,6.5,1044.194,"Trump"
"71","Crawford County, Indiana",65.628403398,4591,17.7,82.3,11.5,5.7,67.2,23834.55238,5.9,4.2,0.08,40.4,0.323,0.253,0.384,0.122,122,NA,0.172,0.1,202.45,NA,94.3,NA,NA,"Trump"
"72","Hamilton County, Kansas",81.4639905549,847,19.1,80.9,14.9,2.4,65.6,24359.593015,2.8,NA,0.08,76.9,0.26,NA,0.34,0.086,NA,NA,0.227,0.037,NA,NA,NA,NA,427.228,"Trump"
"73","Mitchell County, Kansas",78.4702549575,2824,8.1,91.9,20.8,7.9,76.2,25922.47746,1.7,1.2,0.07,22.7,0.224,0.142,0.289,0.107,127.1,NA,0.126,0.031,258.76,NA,106.5,NA,691.8325,"Trump"
"74","Morris County, Kansas",69.7040498442,2568,9.9,90.1,16.6,7.7,74.75,25341.94984,2.8,NA,0.05,40.7,0.236,0.139,0.33,0.112,101.9,NA,0.148,0.066,178.58,NA,NA,NA,905.546285714,"Trump"
"75","Franklin County, Mississippi",63.6406731453,4219,21.6,78.4,13.2,1.8,76.5,24918.759685,5.1,4.8,0.14,57.9,0.324,0.27,0.411,0.143,586.3,134.3,0.217,0.101,203.5,NA,73.8,NA,1517.142,"Trump"
"76","Jefferson Davis County, Mississippi",39.5382395382,6237,26.7,73.3,11.9,3.1,72.4,21749.43651,4.1,5.2,0.15,69.8,0.61,0.275,0.369,0.141,1039.8,354.1,0.234,0.115,NA,25.8,124.7,NA,1501.648,"Clinton"
"77","Union County, Mississippi",80.5433444698,11374,25.3,74.7,14.5,5,75.15,23930.60127,3.9,3.6,0.12,68.8,0.312,0.304,0.338,0.122,457.2,127.1,0.235,0.084,39.13,6.41,89.2,9.8,1426.464,"Trump"
"78","Avery County, North Carolina",77.2456575682,8060,18.7,81.3,20.3,6,76.25,19670.20603,4.3,2.7,0.08,25.9,0.24,0.245,0.289,0.105,56.9,57.5,0.255,0.112,126.53,NA,80.2,NA,1373.632,"Trump"
"79","Bladen County, North Carolina",54.0621228483,15743,26,74,9.8,2.4,75.5,23681.72095,4.7,4.2,0.1,52.6,0.483,0.206,0.361,0.147,552.6,288.6,0.217,0.124,370.11,11.22,96.5,12,1260.602,"Trump"
"80","Franklin County, North Carolina",54.5782890777,29902,19.9,80.1,15.2,4.6,75.4,27702.20984,4.4,4.4,0.09,43,0.256,0.267,0.334,0.106,297.7,209,0.209,0.09,146.35,5.51,72.6,7.1,1159.002,"Trump"
"81","Hertford County, North Carolina",30.504950495,10100,26.5,73.5,15.7,5.2,76.35,21110.704125,3.5,2.7,0.13,58.7,0.535,0.265,0.341,0.144,929.1,611,0.176,0.104,295.01,5.9,59.9,18.2,1216.66,"Clinton"
"82","Ransom County, North Dakota",52.1795425119,2317,12.7,87.3,17.7,4.1,76.85,27379.220635,2.9,3.2,0.05,25.5,0.171,0.136,0.316,0.101,259.1,NA,0.108,0.03,84.09,NA,NA,NA,539.919333333,"Trump"
"83","Towner County, North Dakota",64.4678979771,1137,11.4,88.6,20.2,4.8,85.6,23708.86127,1.7,1.8,NA,23.1,0.223,0.139,0.291,0.098,353.4,NA,0.135,0.039,0,NA,NA,NA,483.531333333,"Trump"
"84","Douglas County, Nebraska",46.5314693597,219531,10,90,35.8,12,77.95,29441.921905,3,2.8,0.08,40.9,0.332,0.193,0.284,0.084,601.7,238.3,0.137,0.045,483.13,6.72,47.9,6.7,800.608,"Clinton"
"85","Loup County, Nebraska",84.554973822,382,7.4,92.6,10,3,88.55,19833.82857,2,NA,NA,NA,0.114,NA,0.3,0.107,NA,NA,0.169,0.032,NA,NA,NA,NA,661.416,"Trump"
"86","Madison County, Nebraska",75.3654342218,13956,13.9,86.1,20,5.5,77.2,24901.171745,2.5,2.2,0.06,42.1,0.282,0.176,0.294,0.08,194.7,88.1,0.147,0.036,125.91,NA,54.2,6.1,724.746666667,"Trump"
"87","San Juan County, New Mexico",60.6394779772,45975,19.1,80.9,15,5.2,67.45,27900.863175,4,3.6,0.07,63.9,0.396,0.227,0.303,0.095,679.4,62.1,0.272,0.068,670.3,8.7,111.1,5.8,248.8565,"Trump"
"88","Fulton County, New York",65.2200582733,19563,16.8,83.2,14.3,5.6,74,26216.31111,6.5,5.3,0.08,31.7,0.481,0.181,0.283,0.097,255.5,142.7,0.114,0.106,177.97,NA,43.6,5.5,1162.05,"Trump"
"89","Adams County, Ohio",76.3355328573,11063,25.3,74.7,10.7,4.7,71.95,21978.574605,6.1,5.3,0.09,56.4,0.327,0.251,0.307,0.102,144.1,32.4,0.164,0.108,42.51,8.51,102.9,7.4,1127.506,"Trump"
"90","Montgomery County, Ohio",48.3915691617,249560,12.3,87.7,24.3,9.3,78.95,27174.006985,3.9,3.8,0.09,43.8,0.42,0.208,0.304,0.125,533.3,244.8,0.144,0.078,443.07,9.05,85.3,7.6,1019.556,"Clinton"
"91","Garvin County, Oklahoma",78.2736682176,10531,19.5,80.5,15.4,4.4,76.15,25046.29651,5.1,6.7,0.09,70.4,0.291,0.252,0.322,0.118,295.1,47.9,0.232,0.04,254.65,6.27,123.1,NA,972.396666667,"Trump"
"92","McCurtain County, Oklahoma",80.6984779158,10709,21.1,78.9,12.3,4.6,74.55,20948.483175,4.7,4,0.08,82.8,0.422,0.228,0.357,0.121,334.4,56.9,0.25,0.088,380.87,12.06,131,7.9,1353.9216,"Trump"
"93","Seminole County, Oklahoma",69.8705179283,8032,20.4,79.6,13.3,5.5,74.65,21480.65619,5.8,5.5,0.08,64.8,0.403,0.264,0.387,0.131,450.7,60.8,0.237,0.068,274.14,7.96,110.2,11.4,1076.02866667,"Trump"
"94","Hood River County, Oregon",31.0411249157,10383,16.3,83.7,25.9,9.5,75.85,23285.22349,2.8,NA,0.05,32.6,0.206,0.096,0.221,0.08,213.4,98.4,0.241,0.07,70.14,NA,51.6,NA,1095.96766667,"Clinton"
"95","Jackson County, Oregon",51.145111717,103789,11.1,88.9,24.4,8.9,72.55,23911.27365,4,4.2,0.06,36.5,0.359,0.186,0.239,0.088,257.3,87.1,0.208,0.108,272.41,2.3,72.7,5.8,689.89575,"Trump"
"96","Cameron County, Pennsylvania",73.8636363636,2024,14.8,85.2,14.9,3.9,72.75,25467.242855,NA,NA,NA,32.2,0.318,0.385,0.291,0.12,99.8,NA,0.124,0.116,136.41,NA,119.3,NA,NA,"Trump"
"97","Washington County, Pennsylvania",60.7983908402,96945,11,89,24.2,8.2,79.6,28778.79365,3.6,3.7,0.08,22.5,0.241,0.198,0.277,0.113,239.1,58.2,0.107,0.073,214.83,2.22,64.4,6,969.433333333,"Trump"
"98","Vilas County, Wisconsin",60.7225154241,13453,8.3,91.7,25,7.7,74.9,22426.777145,3.1,2.6,0.06,31,0.446,0.184,0.28,0.105,284.5,42.1,0.149,0.095,56.97,NA,89.2,NA,789.141714286,"Trump"
"99","Grant County, Kentucky",76.0569275848,9556,20.6,79.4,10.8,3.8,73.6,23264.65619,5.2,5.1,0.09,65.9,0.272,0.271,0.35,0.11,294.2,91.5,0.173,0.083,50.37,NA,84.5,NA,1084.326,"Trump"
"100","Greenup County, Kentucky",70.951883488,16273,19.9,80.1,14.9,7.1,75.9,25601.11016,5.3,4.2,0.09,43.4,0.295,0.228,0.367,0.154,162.8,35.2,0.176,0.08,73.64,NA,73.6,6.7,1063.117,"Trump"
"101","Jessamine County, Kentucky",66.3949197632,23306,14.8,85.2,27.4,10.9,75.35,25408.10381,4.3,4,0.08,42.6,0.295,0.271,0.325,0.113,263,83,0.176,0.071,191.44,NA,72.3,4.9,1156.208,"Trump"
"102","Russell County, Kentucky",83.9613408368,8174,27.7,72.3,12.7,6.3,71,23687.689205,4.2,4,0.08,84.4,0.363,0.309,0.322,0.13,187.4,32,0.196,0.086,72.13,NA,100.9,NA,1336.294,"Trump"
"103","Spencer County, Kentucky",75.6438557763,9513,16.3,83.7,16.6,6.1,75.95,32023.28095,4,NA,0.08,29.6,0.212,0.321,0.339,0.109,143.9,48.7,0.146,0.076,34.36,NA,66.4,NA,NA,"Trump"
"104","Winn Parish, Louisiana",72.3146984925,6368,27.4,72.6,11.2,2.9,66.5,22407.681585,5.2,2.9,0.1,69.1,0.37,0.207,0.342,0.122,404.5,444.3,0.213,0.071,489.86,9.17,74.9,NA,1450.594,"Trump"
"105","Middlesex County, Massachusetts",28.17054306,767337,8.4,91.6,49.3,23.7,82.4,40431.08127,2.7,2.7,0.08,11.8,0.207,0.114,0.233,0.087,223.7,249.9,0.045,0.053,277.72,1.49,37.1,4,1219.708,"Clinton"
"106","Baltimore County, Maryland",39.1051797371,335017,11.2,88.8,35.2,14.8,78.65,37536.546665,3.3,3.5,0.09,25.6,0.344,0.17,0.276,0.097,392.5,449.5,0.11,0.073,547.43,6.3,60.1,7.9,NA,"Clinton"
"107","St. Mary's County, Maryland",59.5297659899,45169,11,89,27.4,10,72.25,42207.969205,3.3,2.9,0.07,31.1,0.253,0.193,0.281,0.092,267.9,110.5,0.091,0.059,286.15,2.42,49.6,7.4,NA,"Trump"
"108","Kennebec County, Maine",48.1113350202,65999,9.7,90.3,24.1,8.9,77.1,27618.15524,3.8,3.7,0.06,25.7,0.339,0.192,0.301,0.096,288.7,113.3,0.118,0.07,133.82,1.18,58.9,5.1,1119.58966667,"Clinton"
"109","Somerset County, Maine",57.7556993222,25968,13.4,86.6,15.3,5,73.2,24088.022855,4.6,4.4,0.08,36.6,0.338,0.256,0.336,0.114,201.8,55.7,0.139,0.098,98.86,NA,69.7,6.4,1086.13575,"Trump"
"110","Waldo County, Maine",45.8594785683,22630,10,90,23.1,8.3,75.8,23484.021585,3.7,4,0.08,30.5,0.369,0.194,0.29,0.102,126.5,71.4,0.14,0.086,78.42,NA,65.1,NA,1132.332,"Clinton"
"111","Clinton County, Michigan",53.3354698748,40564,7,93,27.2,9.7,80.85,34023.935875,3.6,3.3,0.07,16.6,0.238,0.164,0.332,0.088,137.8,49.7,0.105,0.06,95.15,NA,31.8,4.6,822.706,"Trump"
"112","Marquette County, Michigan",44.5207769705,32897,8.3,91.7,29.7,9,78.95,21202.636825,3.7,2.7,0.07,13.9,0.243,0.212,0.295,0.094,209.8,42.5,0.138,0.077,163.47,NA,52.9,NA,813.453142857,"Clinton"
"113","Montcalm County, Michigan",63.6654616659,26556,15,85,12.7,4.8,75.95,23963.298095,2.8,2.9,0.06,40.2,0.315,0.228,0.32,0.089,194.7,28.2,0.144,0.11,238.91,3.15,68,5.4,887.222,"Trump"
